City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Namibe,AO,2022-09-30 18:23:18,-15.1961,12.1522,65.84,90,56,7.54
68,Torbay,CA,2022-09-30 18:23:19,47.6666,-52.7314,60.89,71,40,6.91
69,Atambua,ID,2022-09-30 18:23:19,-9.1061,124.8925,74.84,81,100,2.66
70,Buta,CD,2022-09-30 18:23:20,2.7858,24.73,71.55,95,78,4.38
71,Belaya Gora,RU,2022-09-30 18:23:20,68.5333,146.4167,23.2,79,100,5.06
72,Cabo San Lucas,MX,2022-09-30 18:23:21,22.8909,-109.9124,94.3,62,0,9.22
73,Henties Bay,NA,2022-09-30 18:23:21,-22.116,14.2845,55.99,89,5,6.17
74,Kortkeros,RU,2022-09-30 18:23:21,61.8106,51.5806,37.4,86,100,7.65
75,Pirenopolis,BR,2022-09-30 18:23:22,-15.8525,-48.9592,88.29,31,75,2.98
76,George,ZA,2022-09-30 18:23:22,-33.963,22.4617,60.35,82,75,11.5
77,Iqaluit,CA,2022-09-30 18:23:23,63.7506,-68.5145,35.33,87,100,9.22
78,Delijan,IR,2022-09-30 18:23:24,33.9905,50.6838,78.46,11,0,3.83
79,Saint George,US,2022-09-30 18:22:54,37.1041,-113.5841,85.42,36,0,3.0
80,Verkhnyaya Inta,RU,2022-09-30 18:23:24,65.9811,60.3094,29.91,64,98,6.58
81,Zella-Mehlis,DE,2022-09-30 18:23:25,50.65,10.65,48.72,77,34,4.45
82,Teahupoo,PF,2022-09-30 18:23:25,-17.8333,-149.2667,75.16,74,11,15.1
83,Quatre Cocos,MU,2022-09-30 18:23:25,-20.2078,57.7625,69.91,74,8,11.43
84,Aksu,CN,2022-09-30 18:23:26,41.1231,80.2644,68.23,26,98,7.99
85,Faya,SA,2022-09-30 18:23:26,18.3851,42.4509,64.51,51,6,4.52
86,Benesat,RO,2022-09-30 18:23:27,47.4167,23.3,60.78,87,63,2.89
87,Kingisepp,RU,2022-09-30 18:23:27,59.3733,28.6134,47.07,83,90,5.35
